E3,Category
MIB2,RING-Single
MDM4,RING-Single
MARCHF2,RING-Single
ZSWIM2,RING-Single
CBLB,RING-Single
TRIM33,RING-Single
RNF6,RING-Single
LRSAM1,RING-Single
UHRF2,RING-Single
TRIM31,RING-Single
MSL2,RING-Single
RFWD3,RING-Single
PIAS4,RING-Single
RNF135,RING-Single
RFFL,RING-Single
LNX1,RING-Single
RNF8,RING-Single
RNF180,RING-Single
TRIM63,RING-Single
TRIM22,RING-Single
BIRC2,RING-Single
SH3RF1,RING-Single
RBCK1,RING-Single
RNF138,RING-Single
MARCHF11,RING-Single
BRAP,RING-Single
TRIM32,RING-Single
RBBP6,RING-Single
SHPRH,RING-Single
TRAF6,RING-Single
MAP3K1,RING-Single
RNF115,RING-Single
RNF34,RING-Single
PDZRN3,RING-Single
FANCL,RING-Single
TOPORS,RING-Single
RNF111,RING-Single
MYLIP,RING-Single
MARCHF1,RING-Single
PDLIM2,RING-Single
MIB1,RING-Single
TRIM41,RING-Single
MARCHF8,RING-Single
TRIM28,RING-Single
SIAH2,RING-Single
MARCHF6,RING-Single
TANK,RING-Single
CHFR,RING-Single
TRIM25,RING-Single
AMFR,RING-Single
MKRN1,RING-Single
CBLL1,RING-Single
SYVN1,RING-Single
MARCHF7,RING-Single
MARCHF5,RING-Single
VPS18,RING-Single
RNF182,RING-Single
CNOT4,RING-Single
RNF125,RING-Single
MDM2,RING-Single
CCNB1IP1,RING-Single
PIAS2,RING-Single
TRIM11,RING-Single
RLIM,RING-Single
TRIM17,RING-Single
BIRC3,RING-Single
TRIM5,RING-Single
RC3H1,RING-Single
RCHY1,RING-Single
MARCHF4,RING-Single
CBL,RING-Single
RNF128,RING-Single
RNF5,RING-Single
SIAH1,RING-Single
MARCHF9,RING-Single
RNF220,RING-Single
RNF4,RING-Single
RAG1,RING-Single
TTC3,RING-Single
RNF43,RING-Single
TRIM23,RING-Single
TRIM37,RING-Single
MYCBP2,RING-Single
NHLRC1,RING-Single
MUL1,RING-Single
RNF19B,RING-Single
XIAP,RING-Single
HLTF,RING-Single
TRIM56,RING-Single
MPG,RING-Single
PJA1,RING-Single
RNF41,RING-Single
PELI1,RING-Single
RNF126,RING-Single
ZNRF1,RING-Single
TRIM13,RING-Single
DZIP3,RING-Single
