,Catalog No.,Product Name,Clinical Research Yes/NO,FDA Approved Yes/No,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,Compound ID,Well,Rack,Barcode,CID
0,S8050,ETP-46464,,,470.52,1345675-02-6,free base,"mTOR,ATM/ATR",ETP-46464 is a potent and selective inhibitor of ATR with IC50 of 25 nM.,C1=CC(=CC2=C1N=CC3=C2N(C(OC3)=O)C4=CC=C(C=C4)C(C#N)(C)C)C5=CN=C6C(=C5)C=CC=C6,12,http://www.selleckchem.com/products/etp-46464.html,PI3K/Akt/mTOR,K06474a,A1,L1200-1,0187170645,72199292
1,S1134,AT9283,Yes,,381.43,896466-04-9,free base,"JAK,Aurora Kinase,Bcr-Abl","AT9283 is a potent JAK2/3 inhibitor with IC50 of 1.2 nM/1.1 nM; also potent to Aurora A/B, Abl(T315I). Phase 1/2.",N(C(=O)NC1C(=NNC=1)C2NC3C(N=2)=CC(=CC=3)CN4CCOCC4)C5CC5,199,http://www.selleckchem.com/products/AT9283.html,JAK/STAT,K04272c,A10,L1200-1,0187172246,135398495
2,S1164,Lenvatinib (E7080),Yes,,426.85,417716-92-8,free base,VEGFR,"E7080 (Lenvatinib) is a multi-target inhibitor, mostly for VEGFR2(KDR)/VEGFR3(Flt-4) with IC50 of 4 nM/5.2 nM, less potent against VEGFR1/Flt-1, ~10-fold more selective for VEGFR2/3 against FGFR1, PDGFRα/β. Phase 3.",C1(=C(C=C2C(=C1)C(=CC=N2)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl)OC)C(N)=O,93,http://www.selleckchem.com/products/E7080.html,Protein Tyrosine Kinase,K04371c,A11,L1200-1,0187172245,9823820
3,S1017,Cediranib (AZD2171),Yes,,450.51,288383-20-0,free base,VEGFR,"Cediranib (AZD2171) is a highly potent VEGFR(KDR) inhibitor with IC50 of <1 nM, also inhibits Flt1/4 with IC50 of 5 nM/≤3 nM, similar activity against c-Kit and PDGFRβ, 36-, 110-fold and >1000-fold selective more for VEGFR than PDGFR-α, CSF-1R and Flt3, Phase 2/3.",C1(=C(C=C2C(=C1)C(=NC=N2)OC3=C(C4=C(C=C3)NC(=C4)C)F)OCCCN5CCCC5)OC,199,http://www.selleckchem.com/products/Cediranib.html,Protein Tyrosine Kinase,K04295c,A2,L1200-1,0187172254,9933475
4,S1026,Imatinib Mesylate (STI571),Yes,Yes,589.71,220127-57-1,mesylate,"c-Kit,Bcr-Abl,PDGFR","Imatinib Mesylate (STI571) is an orally bioavailability mesylate salt of Imatinib, which is a multi-target inhibitor of v-Abl, c-Kit and PDGFR with IC50 of 0.6 μM, 0.1 μM and 0.1 μM, respectively.",C1(=CC=C(C(=C1)NC2=NC=CC(=N2)C3=CC=CN=C3)C)NC(=O)C4(=CC=C(C=C4)CN5CCN(CC5)C).OS(C)(=O)=O,200,http://www.selleckchem.com/products/Imatinib-Mesylate.html,Protein Tyrosine Kinase,K06336a,A3,L1200-1,0187172253,123596
5,S1039,Rapamycin (Sirolimus),Yes,Yes,914.18,53123-88-9,free base,"Autophagy,mTOR","Rapamycin (Sirolimus, AY-22989, WY-090217) is a specific mTOR inhibitor with IC50 of ~0.1 nM.",[C@@H]1([C@@H](C[C@@H](CC1)C[C@H]([C@@H]2CC([C@@H](/C=C(\C)[C@H]([C@@H](C([C@@H](C[C@@H](/C=C/C=C/C=C(/[C@H](C[C@@H]3CC[C@H]([C@](C(C(N4CCCC[C@@H](C(O2)=O)4)=O)=O)(O3)O)C)OC)C)C)C)=O)OC)O)C)=O)C)OC)O,21,http://www.selleckchem.com/products/Rapamycin.html,PI3K/Akt/mTOR,K06340a,A4,L1200-1,0187172252,5284616
6,S1055,Enzastaurin (LY317615),Yes,,515.61,170364-57-5,free base,PKC,"Enzastaurin (LY317615) is a potent PKCβ selective inhibitor with IC50 of 6 nM, 6- to 20-fold selectivity against PKCα, PKCγ and PKCε. Phase 3.",C1=CC=C2C(=C1)C(=CN2C3CCN(CC3)CC4=NC=CC=C4)C5C(NC(C=5C6C7C(N(C=6)C)=CC=CC=7)=O)=O,58,http://www.selleckchem.com/products/Enzastaurin.html,TGF-beta/Smad,K04282c,A5,L1200-1,0187172251,176167
7,S1075,SB216763,,,371.22,280744-09-4,free base,GSK-3,SB216763 is a potent and selective GSK-3 inhibitor with IC50 of 34.3 nM for GSK-3α and equally effective at inhibiting human GSK-3β.,C1=CC=CC2=C1N(C=C2C3=C(C(NC3=O)=O)C4=CC=C(C=C4Cl)Cl)C,61,http://www.selleckchem.com/products/SB-216763.html,PI3K/Akt/mTOR,K00961b,A6,L1200-1,0187172250,176158
8,S1092,KU-55933 (ATM Kinase Inhibitor),,,395.49,587871-26-9,free base,ATM/ATR,"KU-55933 is a potent and specific ATM inhibitor with IC50/Ki of 12.9 nM/2.2 nM, and is highly selective for ATM as compared to DNA-PK, PI3K/PI4K, ATR and mTOR.",C1=CC=C2C(=C1)SC3=C(S2)C=CC=C3C4=CC(C=C(O4)N5CCOCC5)=O,83,http://www.selleckchem.com/products/KU-55933.html,DNA Damage,K02643b,A7,L1200-1,0187172249,5278396
9,S1105,LY294002,,,307.34,154447-36-6,free base,"Autophagy,PI3K","LY294002 is the first synthetic molecule known to inhibit PI3Kα/δ/β with IC50 of 0.5 μM/0.57 μM/0.97 μM, respectively; more stable in solution than Wortmannin, and also blocks autophagosome formation.",C1=CC(=C2C(=C1)C(C=C(O2)N3CCOCC3)=O)C4=CC=CC=C4,117,http://www.selleckchem.com/products/LY294002.html,PI3K/Akt/mTOR,K00235c,A8,L1200-1,0187172248,3973
