cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,isosmiles,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation
139291005,PROTAC ERRalpha ligand 2,"PROTAC ERRalpha ligand 2|CHEMBL4514580|2306388-57-6|(E)-3-(4-((2,4-Bis(trifluoromethyl)benzyl)oxy)-3-methoxyphenyl)-2-cyanoacrylic acid|PROTAC ERR|A ligand 2|EX-A5031|BDBM50501971|MFCD32215326|HY-126351|CS-0102786",445.3,C20H13F6NO4,79.6,711,5,31,1,11,6,"InChI=1S/C20H13F6NO4/c1-30-17-7-11(6-13(9-27)18(28)29)2-5-16(17)31-10-12-3-4-14(19(21,22)23)8-15(12)20(24,25)26/h2-8H,10H2,1H3,(H,28,29)/b13-6+",COC1=C(C=CC(=C1)/C=C(\\C#N)/C(=O)O)OCC2=C(C=C(C=C2)C(F)(F)F)C(F)(F)F,JRWKJGIKIBTXMV-AWNIVKPZSA-N,"(E)-3-[4-[[2,4-bis(trifluoromethyl)phenyl]methoxy]-3-methoxyphenyl]-2-cyanoprop-2-enoic acid",NULL,Classification|Patents,2,NULL,20191031,A2B Chem|AA BLOCKS|AbaChemScene|abcr GmbH|Ambeed|BenchChem|BindingDB|Chem-Space.com Database|ChEMBL|CSNpharm|DC Chemicals|Excenen Pharmatech|Google Patents|MedChemexpress MCE|MolPort|PATENTSCOPE (WIPO)|TargetMol (Target Molecule Corp.),Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development,NULL
135156947,Gefitinib-based PROTAC 3,"Gefitinib-based PROTAC 3|2230821-27-7|PROTAC 3|CHEMBL4587573|SCHEMBL20305518|GTPL10636|EX-A3010|NTN21277|AKOS037653377|HY-123921|CS-0087480|S0070|(2S,4R)-1-((S)-2-(3-(2-((5-((4-((3-chloro-4-fluorophenyl)amino)-7-methoxyquinazolin-6-yl)oxy)pentyl)oxy)ethoxy)propanamido)-3,3-dimethylbutanoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",934.5,C47H57ClFN7O8S,215,1480,6.9,65,4,14,23,"InChI=1S/C47H57ClFN7O8S/c1-29-42(65-28-53-29)31-11-9-30(10-12-31)25-50-45(59)38-22-33(57)26-56(38)46(60)43(47(2,3)4)55-41(58)15-18-63-20-19-62-16-7-6-8-17-64-40-23-34-37(24-39(40)61-5)51-27-52-44(34)54-32-13-14-36(49)35(48)21-32/h9-14,21,23-24,27-28,33,38,43,57H,6-8,15-20,22,25-26H2,1-5H3,(H,50,59)(H,55,58)(H,51,52,54)/t33-,38+,43-/m1/s1",CC1=C(SC=N1)C2=CC=C(C=C2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)CCOCCOCCCCCOC4=C(C=C5C(=C4)C(=NC=N5)NC6=CC(=C(C=C6)F)Cl)OC)O,NICKHWYZMNLEPJ-TZSMONEZSA-N,"(2S,4R)-1-[(2S)-2-[3-[2-[5-[4-(3-chloro-4-fluoroanilino)-7-methoxyquinazolin-6-yl]oxypentoxy]ethoxy]propanoylamino]-3,3-dimethylbutanoyl]-4-hydroxy-N-[[4-(4-methyl-1,3-thiazol-5-yl)phenyl]methyl]pyrrolidine-2-carboxamide",NULL,Classification|Literature|Patents,3,NULL,20181215,A2B Chem|AA BLOCKS|AbaChemScene|AKos Consulting & Solutions|Chem-Space.com Database|ChEMBL|eNovation Chemicals|Excenen Pharmatech|IUPHAR/BPS Guide to PHARMACOLOGY|Lan Pharmatech|MedChemexpress MCE|MolPort|PATENTSCOPE (WIPO)|Selleck Chemicals|SureChEMBL|TargetMol (Target Molecule Corp.)|THE BioTek,Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development,NULL
132472236,Cdk9-protac,"CDK9-PROTAC|PROTAC CDK9 Degrader-1|2118356-96-8|N-(5-Cyclobutyl-1H-pyrazol-3-yl)-2-(4-((5-((2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-yl)oxy)pentyl)oxy)phenyl)acetamide|CHEMBL4519788|SCHEMBL21691024|AKOS037653368|HY-103628|CS-0028478",613.7,C33H35N5O7,160,1110,3.4,45,3,8,13,"InChI=1S/C33H35N5O7/c39-28-15-14-25(31(41)35-28)38-32(42)23-8-5-9-26(30(23)33(38)43)45-17-3-1-2-16-44-22-12-10-20(11-13-22)18-29(40)34-27-19-24(36-37-27)21-6-4-7-21/h5,8-13,19,21,25H,1-4,6-7,14-18H2,(H,35,39,41)(H2,34,36,37,40)",C1CC(C1)C2=CC(=NN2)NC(=O)CC3=CC=C(C=C3)OCCCCCOC4=CC=CC5=C4C(=O)N(C5=O)C6CCC(=O)NC6=O,WCEHIDWONYOKOJ-UHFFFAOYSA-N,"N-(5-cyclobutyl-1H-pyrazol-3-yl)-2-[4-[5-[2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindol-4-yl]oxypentoxy]phenyl]acetamide",NULL,Classification|Patents,2,NULL,20180329,AbaChemScene|AKos Consulting & Solutions|BOC Sciences|Chem-Space.com Database|ChEMBL|CSNpharm|DC Chemicals|eNovation Chemicals|MedChemexpress MCE|MolPort|PATENTSCOPE (WIPO)|Smolecule|SureChEMBL|TargetMol (Target Molecule Corp.)|THE BioTek,Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development,NULL
135397670,PROTAC Sirt2 Degrader-1,"Sirt2-PROTAC-1|PROTAC Sirt2 Degrader-1|2098487-75-1|CHEMBL4225467|2-((4,6-Dimethylpyrimidin-2-yl)thio)-N-(5-(3-((1-(4-(2-((2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-yl)oxy)acetamido)butyl)-1H-1,2,3-triazol-4-yl)methoxy)benzyl)thiazol-2-yl)acetamide|BDBM50459841|AKOS037653400|HY-103636|CS-0028486",852.9,C40H40N10O8S2,283,1540,3.2,60,3,15,18,"InChI=1S/C40H40N10O8S2/c1-23-15-24(2)44-40(43-23)59-22-34(53)46-39-42-18-28(60-39)17-25-7-5-8-27(16-25)57-20-26-19-49(48-47-26)14-4-3-13-41-33(52)21-58-31-10-6-9-29-35(31)38(56)50(37(29)55)30-11-12-32(51)45-36(30)54/h5-10,15-16,18-19,30H,3-4,11-14,17,20-22H2,1-2H3,(H,41,52)(H,42,46,53)(H,45,51,54)",CC1=CC(=NC(=N1)SCC(=O)NC2=NC=C(S2)CC3=CC(=CC=C3)OCC4=CN(N=N4)CCCCNC(=O)COC5=CC=CC6=C5C(=O)N(C6=O)C7CCC(=O)NC7=O)C,GRYRXFYWVDWPQY-UHFFFAOYSA-N,"N-[4-[4-[[3-[[2-[[2-(4,6-dimethylpyrimidin-2-yl)sulfanylacetyl]amino]-1,3-thiazol-5-yl]methyl]phenoxy]methyl]triazol-1-yl]butyl]-2-[2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindol-4-yl]oxyacetamide",NULL,Biological Test Results|Classification|Biological Test Results: Active|Biological Test Results: Micromolar,4,1387857|1387858|1387859|1387860|1387861|1387862|1387864|1387865|1387866|1387867,20181227,A2B Chem|AA BLOCKS|AbaChemScene|AKos Consulting & Solutions|BindingDB|BOC Sciences|Chem-Space.com Database|ChEMBL|CSNpharm|DC Chemicals|eNovation Chemicals|MedChemexpress MCE|MolPort|Smolecule|THE BioTek,Chemical Vendors|Curation Efforts|Research and Development,NULL
138911382,PROTAC ERRalpha Degrader-2,PROTAC ERRalpha Degrader-2|PROTAC ERR|A Degrader-2|2306388-85-0|HY-128839|CS-0100634,1151,C57H55Cl2F6N7O8,175,2190,10.3,80,2,16,20,"InChI=1S/C57H55Cl2F6N7O8/c1-34(2)80-47-29-43(77-3)19-20-44(47)53-69-51(36-10-15-41(58)16-11-36)52(37-12-17-42(59)18-13-37)72(53)55(76)71-25-24-70(50(74)32-71)31-49(73)67-22-6-5-7-23-68-54(75)39(30-66)26-35-8-21-46(48(27-35)78-4)79-33-38-9-14-40(56(60,61)62)28-45(38)57(63,64)65/h8-21,26-29,34,51-52H,5-7,22-25,31-33H2,1-4H3,(H,67,73)(H,68,75)/b39-26+/t51-,52+/m1/s1",CC(C)OC1=C(C=CC(=C1)OC)C2=N[C@@H]([C@@H](N2C(=O)N3CCN(C(=O)C3)CC(=O)NCCCCCNC(=O)/C(=C/C4=CC(=C(C=C4)OCC5=C(C=C(C=C5)C(F)(F)F)C(F)(F)F)OC)/C#N)C6=CC=C(C=C6)Cl)C7=CC=C(C=C7)Cl,BCMRBUQELZGQDK-ZAZFVFGXSA-N,"(E)-N-[5-[[2-[4-[(4R,5S)-4,5-bis(4-chlorophenyl)-2-(4-methoxy-2-propan-2-yloxyphenyl)-4,5-dihydroimidazole-1-carbonyl]-2-oxopiperazin-1-yl]acetyl]amino]pentyl]-3-[4-[[2,4-bis(trifluoromethyl)phenyl]methoxy]-3-methoxyphenyl]-2-cyanoprop-2-enamide",NULL,NULL,0,NULL,20190902,AbaChemScene|BLD Pharm|MedChemexpress MCE,Chemical Vendors,NULL
139035014,SMARCA-BD ligand 1 for Protac dihydrochloride,SMARCA-BD ligand 1 for Protac (dihydrochloride)|HY-44012A|CS-0102910|SMARCA-BD ligand 1 for Protac dihydrochloride|2369053-68-7,344.2,C14H19Cl2N5O,87.3,310,NULL,22,5,6,2,"InChI=1S/C14H17N5O.2ClH/c15-14-12(19-7-5-16-6-8-19)9-11(17-18-14)10-3-1-2-4-13(10)20;;/h1-4,9,16,20H,5-8H2,(H2,15,18);2*1H",C1CN(CCN1)C2=CC(=NN=C2N)C3=CC=CC=C3O.Cl.Cl,INBBYNMFULAIMY-UHFFFAOYSA-N,2-(6-amino-5-piperazin-1-ylpyridazin-3-yl)phenol;dihydrochloride,NULL,NULL,NA,NULL,20190930,A2B Chem|AA BLOCKS|AbaChemScene|BenchChem|Chem-Space.com Database|MedChemexpress MCE|MolPort|TargetMol (Target Molecule Corp.),Chemical Vendors|Legacy Depositors,NULL
134160245,Protac linker 5,"Protac linker 5|2245697-83-8|(S,R,S)-AHPC-C4-NH2 (hydrochloride)|VH 032 Linker 3|BCP33413|EX-A3911|AKOS034834082|(S,R,S)-AHPC-C4-NH2 hydrochloride|E3 ligase Ligand-Linker Conjugates 28|HY-114176|CS-0078575|(2S,4R)-1-((S)-2-(5-aminopentanamido)-3,3-dimethylbutanoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide hydrochloride|(S,R,S)-AHPC-C4-NH2 HCl;VH032-C4-NH2 hydrochloride; VHL Ligand-Linker Conjugates 13; Protac linker 5;E3 ligase Ligand-Linker Conjugates 28",566.2,C27H40ClN5O4S,166,783,NULL,38,5,7,11,"InChI=1S/C27H39N5O4S.ClH/c1-17-23(37-16-30-17)19-10-8-18(9-11-19)14-29-25(35)21-13-20(33)15-32(21)26(36)24(27(2,3)4)31-22(34)7-5-6-12-28;/h8-11,16,20-21,24,33H,5-7,12-15,28H2,1-4H3,(H,29,35)(H,31,34);1H/t20-,21+,24-;/m1./s1",CC1=C(SC=N1)C2=CC=C(C=C2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)CCCCN)O.Cl,HJICCZROGLAHNB-BIBCNAKVSA-N,"(2S,4R)-1-[(2S)-2-(5-aminopentanoylamino)-3,3-dimethylbutanoyl]-4-hydroxy-N-[[4-(4-methyl-1,3-thiazol-5-yl)phenyl]methyl]pyrrolidine-2-carboxamide;hydrochloride",NULL,NULL,NA,NULL,20180620,A2B Chem|AA BLOCKS|AbaChemScene|AKos Consulting & Solutions|BenchChem|BioChemPartner|Chem-Space.com Database|ChemShuttle|DC Chemicals|Excenen Pharmatech|MedChemexpress MCE|MolPort|Tenova Pharmaceuticals Inc,Chemical Vendors,NULL
138911381,PROTAC ERRalpha Degrader-1,"PROTAC ERRalpha Degrader-1|2306388-84-9|ERRalpha Degrader-1|PROTAC ERR|A Degrader-1|HY-128838|CS-0100633|(E)-N-(2-(2-(4-((4R,5S)-4,5-Bis(4-chlorophenyl)-2-(2-isopropoxy-4-methoxyphenyl)-4,5-dihydro-1H-imidazole-1-carbonyl)-2-oxopiperazin-1-yl)acetamido)ethyl)-3-(4-((2,4-bis(trifluoromethyl)benzyl)oxy)-3-methoxyphenyl)-2-cyanoacrylamide",1108.9,C54H49Cl2F6N7O8,175,2130,9.3,77,2,16,17,"InChI=1S/C54H49Cl2F6N7O8/c1-31(2)77-44-26-40(74-3)16-17-41(44)50-66-48(33-7-12-38(55)13-8-33)49(34-9-14-39(56)15-10-34)69(50)52(73)68-22-21-67(47(71)29-68)28-46(70)64-19-20-65-51(72)36(27-63)23-32-5-18-43(45(24-32)75-4)76-30-35-6-11-37(53(57,58)59)25-42(35)54(60,61)62/h5-18,23-26,31,48-49H,19-22,28-30H2,1-4H3,(H,64,70)(H,65,72)/b36-23+/t48-,49+/m1/s1",CC(C)OC1=C(C=CC(=C1)OC)C2=N[C@@H]([C@@H](N2C(=O)N3CCN(C(=O)C3)CC(=O)NCCNC(=O)/C(=C/C4=CC(=C(C=C4)OCC5=C(C=C(C=C5)C(F)(F)F)C(F)(F)F)OC)/C#N)C6=CC=C(C=C6)Cl)C7=CC=C(C=C7)Cl,ZVQCWVLBPYOZNC-XNCCLBLBSA-N,"(E)-N-[2-[[2-[4-[(4R,5S)-4,5-bis(4-chlorophenyl)-2-(4-methoxy-2-propan-2-yloxyphenyl)-4,5-dihydroimidazole-1-carbonyl]-2-oxopiperazin-1-yl]acetyl]amino]ethyl]-3-[4-[[2,4-bis(trifluoromethyl)phenyl]methoxy]-3-methoxyphenyl]-2-cyanoprop-2-enamide",NULL,NULL,0,NULL,20190902,AbaChemScene|BLD Pharm|MedChemexpress MCE|THE BioTek,Chemical Vendors,NULL
46218170,PROTAC CRABP-II Degrader-2,PROTAC CRABP-II Degrader-2|CHEMBL2048499|AKOS037653380|HY-111841|CS-0093180,809,C44H64N4O10,208,1520,3.6,58,5,12,26,"InChI=1S/C44H64N4O10/c1-30(2)26-38(47-42(53)41(52)36(45)28-34-14-9-8-10-15-34)43(54)57-25-24-56-23-22-55-21-20-46-39(49)29-58-48-37-18-19-44(6,7)35(33(37)5)17-16-31(3)12-11-13-32(4)27-40(50)51/h8-17,27,30,36,38,41,52H,18-26,28-29,45H2,1-7H3,(H,46,49)(H,47,53)(H,50,51)/b13-11+,17-16+,31-12+,32-27+,48-37+/t36-,38+,41+/m1/s1",CC\\1=C(C(CC/C1=N\\OCC(=O)NCCOCCOCCOC(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](CC2=CC=CC=C2)N)O)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,LJDTZKKSXVIAPQ-FATAJGLMSA-N,"(2E,4E,6E,8E)-9-[(3E)-3-[2-[2-[2-[2-[(2S)-2-[[(2S,3R)-3-amino-2-hydroxy-4-phenylbutanoyl]amino]-4-methylpentanoyl]oxyethoxy]ethoxy]ethylamino]-2-oxoethoxy]imino-2,6,6-trimethylcyclohexen-1-yl]-3,7-dimethylnona-2,4,6,8-tetraenoic acid",NULL,Biological Test Results|Classification,2,670302|670307|670308|670309|690787|690797|704677|704693|704694|704695|704696,20100706,AbaChemScene|AKos Consulting & Solutions|ChEMBL|DiscoveryGate|MedChemexpress MCE|Thomson Pharma,Chemical Vendors|Curation Efforts|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
46218171,PROTAC CRABP-II Degrader-3,PROTAC CRABP-II Degrader-3|AKOS037653389|HY-111842|CS-0093182,853.1,C46H68N4O11,217,1570,3.5,61,5,13,29,"InChI=1S/C46H68N4O11/c1-32(2)28-40(49-44(55)43(54)38(47)30-36-14-9-8-10-15-36)45(56)60-27-26-59-25-24-58-23-22-57-21-20-48-41(51)31-61-50-39-18-19-46(6,7)37(35(39)5)17-16-33(3)12-11-13-34(4)29-42(52)53/h8-17,29,32,38,40,43,54H,18-28,30-31,47H2,1-7H3,(H,48,51)(H,49,55)(H,52,53)/b13-11+,17-16+,33-12+,34-29+,50-39+/t38-,40+,43+/m1/s1",CC\\1=C(C(CC/C1=N\\OCC(=O)NCCOCCOCCOCCOC(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](CC2=CC=CC=C2)N)O)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,RZIQIEBBFSSCIQ-KMRDRQGYSA-N,"(2E,4E,6E,8E)-9-[(3E)-3-[2-[2-[2-[2-[2-[(2S)-2-[[(2S,3R)-3-amino-2-hydroxy-4-phenylbutanoyl]amino]-4-methylpentanoyl]oxyethoxy]ethoxy]ethoxy]ethylamino]-2-oxoethoxy]imino-2,6,6-trimethylcyclohexen-1-yl]-3,7-dimethylnona-2,4,6,8-tetraenoic acid",NULL,NULL,0,NULL,20100706,AbaChemScene|AKos Consulting & Solutions|DiscoveryGate|MedChemexpress MCE|Thomson Pharma,Chemical Vendors|Journal Publishers|Legacy Depositors|Subscription Services,NULL
117719853,Protac-I,"PROTAC-I|SCHEMBL16267037|(2S,4R)-1-((S)-2-(Tert-butyl)-19-((7R,8R,9S,13S,14S,17S)-3,17-dihydroxy-13-methyl-7,8,9,11,12,13,14,15,16,17-decahydro-6H-cyclopenta[a]phenanthren-7-yl)-4-oxo-6,9,12,15-tetraoxa-3-azanonadecan-1-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide|(2S,4R)-1-((S)-2-(tert-Butyl)-19-((7R,8R,9S,13S,14S,17S)-3,17-dihydroxy-13-methyl-7,8,9,11,12,13,14,15,16,17-decahydro-6H-cyclopenta[a]phenanthren-7-yl)-4-oxo-6,9,12,15-tetraoxa-3-azanonadecanoyl)-4-hydroxy-N-(4-(4-me",947.2,C52H74N4O10S,217,1580,6.4,67,5,12,23,"InChI=1S/C52H74N4O10S/c1-33-47(67-32-54-33)35-11-9-34(10-12-35)29-53-49(61)43-28-39(58)30-56(43)50(62)48(51(2,3)4)55-45(60)31-66-25-24-65-23-22-64-21-20-63-19-7-6-8-36-26-37-27-38(57)13-14-40(37)41-17-18-52(5)42(46(36)41)15-16-44(52)59/h9-14,27,32,36,39,41-44,46,48,57-59H,6-8,15-26,28-31H2,1-5H3,(H,53,61)(H,55,60)/t36-,39-,41-,42+,43+,44+,46-,48-,52+/m1/s1",CC1=C(SC=N1)C2=CC=C(C=C2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)COCCOCCOCCOCCCC[C@@H]4CC5=C(C=CC(=C5)O)[C@@H]6[C@@H]4[C@@H]7CC[C@@H]([C@]7(CC6)C)O)O,AMIXLHOERNJPME-NFKZCJKKSA-N,"(2S,4R)-1-[(2S)-2-[[2-[2-[2-[2-[4-[(7R,8R,9S,13S,14S,17S)-3,17-dihydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-7-yl]butoxy]ethoxy]ethoxy]ethoxy]acetyl]amino]-3,3-dimethylbutanoyl]-4-hydroxy-N-[[4-(4-methyl-1,3-thiazol-5-yl)phenyl]methyl]pyrrolidine-2-carboxamide",NULL,Patents,1,NULL,20160223,Google Patents|IBM|NextMove Software|PATENTSCOPE (WIPO)|SureChEMBL|THE BioTek,Chemical Vendors|Curation Efforts|Governmental Organizations|Research and Development,NULL
124187630,FKBP12 PROTAC dTAG-13,"FKBP12 PROTAC dTAG-13|dTAG-13|2064175-41-1|CHEMBL4586585|SCHEMBL18376186|GTPL10533|AKOS037653459|HY-114421|CS-0085058|(2S)-(1R)-3-(3,4-dimethoxyphenyl)-1-(2-(2-((6-((2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-yl)oxy)hexyl)amino)-2-oxoethoxy)phenyl)propyl 1-((S)-2-(3,4,5-trimethoxyphenyl)butanoyl)piperidine-2-carboxylate|[(1R)-3-(3,4-dimethoxyphenyl)-1-[2-[2-[6-[2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindol-4-yl]oxyhexylamino]-2-oxoethoxy]phenyl]propyl] (2S)-1-[(2S)-2-(3,4,5-trimethoxyphenyl)butanoyl]",1049.2,C57H68N4O15,224,1930,7.4,76,2,15,27,"InChI=1S/C57H68N4O15/c1-7-37(36-32-47(71-4)52(73-6)48(33-36)72-5)54(65)60-29-14-12-19-41(60)57(68)76-43(25-22-35-23-26-44(69-2)46(31-35)70-3)38-17-10-11-20-42(38)75-34-50(63)58-28-13-8-9-15-30-74-45-21-16-18-39-51(45)56(67)61(55(39)66)40-24-27-49(62)59-53(40)64/h10-11,16-18,20-21,23,26,31-33,37,40-41,43H,7-9,12-15,19,22,24-25,27-30,34H2,1-6H3,(H,58,63)(H,59,62,64)/t37-,40?,41-,43+/m0/s1",CC[C@@H](C1=CC(=C(C(=C1)OC)OC)OC)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCC3=CC(=C(C=C3)OC)OC)C4=CC=CC=C4OCC(=O)NCCCCCCOC5=CC=CC6=C5C(=O)N(C6=O)C7CCC(=O)NC7=O,BJFBRLAWLPZOMJ-QHVFGHLPSA-N,"[(1R)-3-(3,4-dimethoxyphenyl)-1-[2-[2-[6-[2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindol-4-yl]oxyhexylamino]-2-oxoethoxy]phenyl]propyl] (2S)-1-[(2S)-2-(3,4,5-trimethoxyphenyl)butanoyl]piperidine-2-carboxylate",NULL,Literature|Patents,2,NULL,20170218,AbaChemScene|AKos Consulting & Solutions|BenchChem|Chem-Space.com Database|ChEMBL|Chemenu Inc.|eNovation Chemicals|Google Patents|IUPHAR/BPS Guide to PHARMACOLOGY|MedChemexpress MCE|MolPort|Nature Chemical Biology|PATENTSCOPE (WIPO)|SureChEMBL|TargetMol (Target Molecule Corp.)|Tocris Bioscience,Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development,NULL
137628637,PROTAC BRD9 Degrader-1,"PROTAC BRD9 Degrader-1|2097971-01-0|SCHEMBL21259422|BCP30517|EX-A3889|AKOS037653394|HY-103632|CS-0028482|(Z)-2-(4-(2-(N'-(1,1-dioxidotetrahydro-2H-thiopyran-4-yl)carbamimidoyl)-5-methyl-4-oxo-4,5-dihydrothieno[3,2-c]pyridin-7-yl)-2-methoxyphenoxy)-N-(4-(2-((2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-yl)oxy)acetamido)butyl)acetamide",904,C42H45N7O12S2,299,1960,0.8,63,4,14,16,"InChI=1S/C42H45N7O12S2/c1-48-20-27(37-26(40(48)54)19-32(62-37)38(43)46-24-12-16-63(57,58)17-13-24)23-8-10-29(31(18-23)59-2)60-21-34(51)44-14-3-4-15-45-35(52)22-61-30-7-5-6-25-36(30)42(56)49(41(25)55)28-9-11-33(50)47-39(28)53/h5-8,10,18-20,24,28H,3-4,9,11-17,21-22H2,1-2H3,(H2,43,46)(H,44,51)(H,45,52)(H,47,50,53)",CN1C=C(C2=C(C1=O)C=C(S2)C(=NC3CCS(=O)(=O)CC3)N)C4=CC(=C(C=C4)OCC(=O)NCCCCNC(=O)COC5=CC=CC6=C5C(=O)N(C6=O)C7CCC(=O)NC7=O)OC,LOLHUPGCPDURJG-UHFFFAOYSA-N,"N-[4-[[2-[2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindol-4-yl]oxyacetyl]amino]butyl]-2-[4-[2-[N'-(1,1-dioxothian-4-yl)carbamimidoyl]-5-methyl-4-oxothieno[3,2-c]pyridin-7-yl]-2-methoxyphenoxy]acetamide",NULL,Patents,1,NULL,20190408,A2B Chem|AA BLOCKS|AbaChemScene|AKos Consulting & Solutions|BenchChem|BioChemPartner|BOC Sciences|Chem-Space.com Database|ChemShuttle|CSNpharm|Excenen Pharmatech|MedChemexpress MCE|MolPort|SureChEMBL|TargetMol (Target Molecule Corp.),Chemical Vendors|Curation Efforts|Legacy Depositors|Research and Development,NULL
