,Compounds,Smiles
0,ProtacDB 2161 1073.784,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCOCCOCCN3CCN(C4=CC=C(NC5=NC=C(Cl)C(NC6=CC=CC=C6S(=O)(=O)C(C)C)=N5)C=C4)CC3)C(C)(C)C)C=C2)SC=N1
1,ProtacDB 2190 887.42,CC(C)S(=O)(=O)C1=CC=CC=C1NC1=NC(NC2=CC=C(N3CCN(CCOCCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)C=C2)=NC=C1Cl
2,ProtacDB 1935 731.723,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCCCCCNC(=O)COC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
3,ProtacDB 1920 631.606,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCCNC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
4,ProtacDB 1928 647.649,CCN1C(=O)N(CC(=O)NCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
5,ProtacDB 1924 661.632,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCOCCNC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
6,ProtacDB 1926 619.595,CCN1C(=O)N(CC(=O)NCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
7,ProtacDB 1941 719.712,CCN1C(=O)N(CC(=O)NCCCCCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
8,ProtacDB 1931 675.615,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCNC(=O)COC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
9,ProtacDB 1930 649.621,CCN1C(=O)N(CC(=O)NCCOCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
10,ProtacDB 1927 633.622,CCN1C(=O)N(CC(=O)NCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
11,ProtacDB 1937 663.604,CCN1C(=O)N(CC(=O)NCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
12,ProtacDB 1919 617.579,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCNC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
13,ProtacDB 1942 707.657,CCN1C(=O)N(CC(=O)NCCOCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
